"REF_DATE","GEO","DGUID","Interprovincial migration","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1990-04","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","19291","","","","0"
"1990-07","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","30173","","","","0"
"1990-10","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","13495","","","","0"
"1991-01","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","11514","","","","0"
"1991-04","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","17741","","","","0"
"1991-07","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","26929","","","","0"
"1991-10","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","14643","","","","0"
"1992-01","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","11711","","","","0"
"1992-04","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","17530","","","","0"
"1992-07","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","25116","","","","0"
"1992-10","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","13633","","","","0"
"1993-01","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","10930","","","","0"
"1993-04","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","16706","","","","0"
"1993-07","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","22823","","","","0"
"1993-10","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","11856","","","","0"
"1994-01","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","12391","","","","0"
"1994-04","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","17555","","","","0"
"1994-07","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","22933","","","","0"
"1994-10","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","13129","","","","0"
"1995-01","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","12969","","","","0"
"1995-04","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","17871","","","","0"
"1995-07","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","24040","","","","0"
"1995-10","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","13620","","","","0"
"1996-01","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","13423","","","","0"
"1996-04","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","17976","","","","0"
"1996-07","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","23250","","","","0"
"1996-10","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","12336","","","","0"
"1997-01","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","14316","","","","0"
"1997-04","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","20076","","","","0"
"1997-07","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","25697","","","","0"
"1997-10","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","11044","","","","0"
"1998-01","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","16785","","","","0"
"1998-04","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","21690","","","","0"
"1998-07","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","22435","","","","0"
"1998-10","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","12512","","","","0"
"1999-01","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","15384","","","","0"
"1999-04","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","22490","","","","0"
"1999-07","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","23946","","","","0"
"1999-10","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","12414","","","","0"
"2000-01","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","18609","","","","0"
"2000-04","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","23934","","","","0"
"2000-07","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","25327","","","","0"
"2000-10","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","13227","","","","0"
"2001-01","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","15176","","","","0"
"2001-04","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","20786","","","","0"
"2001-07","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","22560","","","","0"
"2001-10","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","11177","","","","0"
