"REF_DATE","GEO","DGUID","Components of population growth","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1986-01","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","9462","","","","0"
"1986-04","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","11676","","","","0"
"1986-07","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","13501","","","","0"
"1986-10","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","15096","","","","0"
"1987-01","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","18396","","","","0"
"1987-04","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","23259","","","","0"
"1987-07","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","23502","","","","0"
"1987-10","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","19624","","","","0"
"1988-01","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","18283","","","","0"
"1988-04","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","23716","","","","0"
"1988-07","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","25728","","","","0"
"1988-10","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","21203","","","","0"
"1989-01","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","22791","","","","0"
"1989-04","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","28348","","","","0"
"1989-07","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","28380","","","","0"
"1989-10","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","25119","","","","0"
"1990-01","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","22910","","","","0"
"1990-04","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","32454","","","","0"
"1990-07","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","33109","","","","0"
"1990-10","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","26297","","","","0"
"1991-01","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","27298","","","","0"
"1991-04","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","28509","","","","0"
"1991-07","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","26462","","","","0"
"1991-10","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","37806","","","","0"
"1992-01","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","30227","","","","0"
"1992-04","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","35211","","","","0"
"1992-07","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","37776","","","","0"
"1992-10","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","36033","","","","0"
"1993-01","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","33822","","","","0"
"1993-04","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","38331","","","","0"
"1993-07","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","35922","","","","0"
