Date,Exchange Rate,Prime_Rate,INDINF_CPI_Q,GDP,W.MTLS,Open,Gold_Price_in_USD,Ontario_population,Ontario_Immigrants_International,Ontario_Emigrants_International,Ontario_In_migrant_Interprovincial,Ontario_Out_migrant_Interprovincial,Crime_severity_index_toronto,Toronto_median_age,UT_Graduate_Enrolment,UT_Undergraduate_Enrolment,UT_Total_Enrolment,Ryerson_Total_Enrolment,York_Total_Enrolment,Unemployment_rate_toronto,Participation_rate_toronto,Employment_rate_toronto,Toronto_population,Sales_Total,Avg_Price_Month,New Units Number (Plan for construction),New Units Number (construction complete),Prime_Rate_2,Bank_of_Canada_Overnight_Rate
2008-01-01,1.009804045,5.9,1.8,37593.78513,589.534,2420.764323,883.2168,12814446,23531,7039,12655,16113,67.01,39,12142,50159,62301,25846,52000,6.6,68.6,64,5501325,924,284193.3496,1455,718,5.75,4.66
2008-02-01,0.999526952,5.75,1.816489939,37600.59698,627.4875,2330.364514,920.2936,12820367.11,25842.44451,7074.707884,14247.75886,17768.19097,66.74918162,39.02529818,12142,50159,62301,25846,52000,6.5,69,64.6,5508633.009,973,283936.036,2187,2525,5.75,4.66
2008-03-01,0.999381737,5.25,1.984316392,37586.59582,667.895,2254.800989,964.3986957,12828968.94,29318.05314,7044.613743,15808.14309,19399.48754,66.51776001,39.04892922,12142,50159,62301,25846,52000,6.8,69.5,64.7,5515458.91,1117,288849.2462,2561,1796,5.25,3.5
2008-04-01,1.013604455,5.05,2.3,37724.482,707.674,2366.03044,910.3616,12840272,32002,7583,17506,21008,66.28381495,39.07415258,12142,50159,62301,25846,52000,6.2,68.9,64.6,5522744.208,1371,295366.6907,2847,1582,4.75,3
2008-05-01,0.998361381,4.75,2.735410608,37733.81882,734.54,2480.220947,887.8603704,12853101.68,33202.87278,8765.459909,19171.35175,22396.41934,66.07063643,39.09852547,12142,50159,62301,25846,52000,6.5,69.7,65.2,5529783.324,1462,296104.1553,1826,1752,4.75,3
2008-06-01,1.01608781,4.75,3.248227998,37878.84785,715.0575,2434.965239,887.7728,12868157.49,33045.91766,10412.48027,20610.6979,23450.70347,65.86401256,39.12367277,12142,50159,62301,25846,52000,6.6,68.4,63.9,5537045.533,1365,297700.7766,3682,2160,4.75,3
2008-07-01,1.013017435,4.75,3.4,37969.94425,720.952,2276.41454,939.4948148,12883583,31798,10950,20001,22929,65.67727392,39.14797205,12142,50159,62301,25846,52000,6.9,68.1,63.4,5544062.305,1351,297018.5396,748,987,4.75,3
2008-08-01,1.052872429,4.75,3.129497156,37961.53891,671.8025,2384.914783,834.8632,12900250.79,29421.11327,10155.50988,16997.08763,20589.92531,65.48436211,39.17314498,12142,50159,62301,25846,52000,6.6,68,63.5,5551340.497,1149,285999.9243,3777,472,4.75,3
2008-09-01,1.058048,4.75,2.505834438,38017.65505,643.6225,2220.683326,821.0272,12916683.31,26187.65207,8267.474798,12245.76616,16923.27763,65.27628689,39.19849632,12142,50159,62301,25846,52000,6.7,68.1,63.5,5558690.353,1058,288207.7949,3674,1984,4.75,3
2008-10-01,1.176903,4.35,2,37943.28455,560.048,1741.135222,807.6392593,12927148,23572,6888,9541,14794,65.06047179,39.22319987,12142,50159,62301,25846,52000,7.2,68.7,63.7,5565871.392,956,274819.0847,3677,1072,4,2.25
2008-11-01,1.2182486,4,1.649620728,37535.51452,498.35,1549.924734,753.3944,12931485.31,21618.29667,6169.906581,9287.294182,14501.27768,64.82252914,39.24890252,12142,50159,62301,25846,52000,7.7,68.2,63,5573362.35,622,266543.2283,1815,2333,4,2.25
2008-12-01,1.235212143,3.6,1.448426549,36956.44483,456.254,1521.174106,816.115,12930631.19,20555.288,6057.958672,11122.18004,15780.90259,64.57781008,39.27394604,12142,50159,62301,25846,52000,8.1,68.7,63.2,5580679.94,494,266159.1862,1479,2280,3.5,1.5
2009-01-01,1.226639476,3.25,1.2,36648.64808,469.2175,1539.322992,856.374,12932234,20963,5901,12767,16924,64.31,39.3,12598,50336,62934,26570,52500,8.8,68.5,62.5,5588312,479,257618.9666,1200,910,3,1
2009-02-01,1.2468436,3,0.880056359,36516.43322,474.9975,1486.46947,934.4552381,12937639.86,23009.42099,5595.415004,13758.59056,17587.65292,64.02701139,39.32623249,12598,50336,62934,26570,52500,9.3,68.8,62.4,5596015.768,681,267550.0573,1086,2368,3,1
2009-03-01,1.262754182,2.5,0.53216486,36212.13705,488.6875,1428.38319,922.0614286,12945587.8,26039.66662,5282.521743,14219.34759,17860.73009,63.7583625,39.3500798,12598,50336,62934,26570,52500,9.1,69.4,63.1,5603035.644,986,277731.0558,2699,908,2.5,0.5
2009-04-01,1.22725655,2.4,0.1,36062.45877,504.004,1630.092384,887.7847368,12956332,29090,5542,15149,18412,63.44648571,39.37665208,12598,50336,62934,26570,52500,9,68.6,62.4,5610875.887,1302,286062.371,915,2682,2.25,0.25
2009-05-01,1.1514024,2.25,-0.362412836,36011.04297,522.7,1725.045496,924.3554545,12968449.87,31486.12759,6499.992246,16608.65299,19289.53758,63.13021749,39.40253717,12598,50336,62934,26570,52500,9.9,68.5,61.8,5618531.494,1529,281881.7351,1207,2652,2.25,0.25
2009-06-01,1.124580682,2.25,-0.823618767,36056.71196,547.95,1825.065446,942.7519048,12982753.59,33191.28547,7995.447533,18355.33289,20263.29187,62.78847327,39.42946075,12598,50336,62934,26570,52500,10.3,68,61,5626512.839,1752,304015.411,1825,1412,2.25,0.25
2009-07-01,1.123503348,2.25,-0.9,36033.77003,551.324,1866.343622,929.9434783,12998345,32979,8654,18343,19631,62.44330108,39.45568582,12598,50336,62934,26570,52500,10.2,68.1,61.2,5634304.997,1675,302291.4412,942,902,2.25,0.25
2009-08-01,1.087955714,2.25,-0.534366213,36089.58653,586.0675,1995.94143,945.7671429,13016267.85,30638.61306,8294.636046,16230.54826,17061.95572,62.07808359,39.48243315,12598,50336,62934,26570,52500,10.2,68.1,61.1,5642363.691,1390,300939.4496,1607,503,2.25,0.25
2009-09-01,1.081821773,2.25,0.19789015,36449.82927,566,2080.765247,991.8709524,13034891.61,26637.89398,7082.643918,12539.11014,13106.52564,61.71179292,39.50819526,12598,50336,62934,26570,52500,9.3,67.2,61,5650353.454,1423,315820.3443,1631,797,2.25,0.25
2009-10-01,1.054265682,2.25,0.8,36459.36237,579.72,2128.381808,1039.72087,13047485,23834,6190,10431,10956,61.35631201,39.53218695,12598,50336,62934,26570,52500,9.4,67.8,61.4,5658019.695,1417,323766.0134,2716,1103,2.25,0.25
2009-11-01,1.059775714,2.25,1.237198004,36685.5935,596.14,2137.077515,1121.422381,13053885.17,22475.4713,5736.743832,10253.59565,10959.80853,60.98794213,39.55600768,12598,50336,62934,26570,52500,9.8,68.3,61.6,5665873.496,1343,317861.9173,1029,1904,2.25,0.25
2009-12-01,1.0536575,2.25,1.486752752,36715.17538,620.454,2219.700007,1130.179048,13054910.72,22658.34636,5696.383815,11763.26202,12827.03968,60.63044908,39.57812063,12598,50336,62934,26570,52500,9.6,67.7,61.2,5673408.161,1118,321804.8658,748,1836,2.25,0.25
2010-01-01,1.0427009,2.25,1.6,36911.44251,620.4125,2274.918431,1116.997895,13058435,24448,5713,13444,14840,60.26,39.6,13116,52286,65402,27537,54100,9.1,68.1,62,5681126,931,310811.9527,700,1960,2.25,0.25
2010-02-01,1.05610475,2.25,1.572000493,37147.89431,594.09,2189.179996,1093.091429,13065757.65,27873.39041,5730.357955,14979.56265,16632.53856,59.88849427,39.62089277,13116,52286,65402,27537,54100,9.6,68.3,61.7,5688774.744,1289,334339.1032,1745,774,2.25,0.25
2010-03-01,1.023633913,2.25,1.451586274,37344.15563,613.966,2356.871306,1110.825,13075434.9,32024.71933,5802.0915,16243.87032,18017.70488,59.5520325,39.63891565,13116,52286,65402,27537,54100,9.4,67.8,61.5,5695623.897,1714,327584.4212,905,934,2.25,0.25
