Date,Sales_Total,Avg_Price_Month
2017-02-01,1632,515424.0900735294
2017-03-01,2324,550299.4483648881
2017-04-01,2148,578279.644320298
2017-05-01,2038,564807.5358194308
2017-06-01,1702,552679.116333725
2017-07-01,1345,532501.9821561339
2017-08-01,1476,540168.7689701897
2017-09-01,1362,554068.9743024963
2017-10-01,1485,555004.0181818182
2017-11-01,1606,555395.6843088418
2017-12-01,1125,532700.2853333333
2018-01-01,899,543278.6462736374
2018-02-01,1142,570275.0516637478
2018-03-01,1573,590184.0476795931
2018-04-01,1574,601210.9186785261
2018-05-01,1742,603081.8817451205
2018-06-01,1593,605529.6854990583
2018-07-01,1415,582547.3985865724
2018-08-01,1388,585355.5893371758
2018-09-01,1282,615581.6840873635
2018-10-01,1519,603153.2922975642
2018-11-01,1370,595677.4423357664
2018-12-01,848,594381.5271226416
2019-01-01,840,591443.8988095238
2019-02-01,1064,612488.5451127819
2019-03-01,1349,603969.0778354337
2019-04-01,1608,637180.4179104478
2019-05-01,1739,642890.7170787809
2019-06-01,1497,636606.4829659319
2019-07-01,1617,627926.9363017934
2019-08-01,1410,619306.5482269503
2019-09-01,1450,636817.5055172414
2019-10-01,1575,662631.1187301588
2019-11-01,1368,659855.3179824562
2019-12-01,884,656232.5350678733
2020-01-01,918,679182.1623093681
2020-02-01,1335,722674.6516853933
2020-03-01,1402,712745.847360913
2020-04-01,482,612300.5020746888
2020-05-01,727,674028.0976616231
2020-06-01,1287,672465.0528360528
2020-07-01,1689,682999.5867377146
2020-08-01,1536,673173.9453125
2020-09-01,1549,686191.4215622982
2020-10-01,1438,668160.6272600834
2020-11-01,1375,640207.7861818182
2020-12-01,1551,625828.1154094132
2021-01-01,1703,624885.6230182032
2021-02-01,2167,676837.4997692662
2021-03-01,2614,707835.1082631982
2021-04-01,2277,727137.3429951691
